ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE
190190.0,0.0,031,S,17031835700,+41.8128443,-087.6275978,G5020,8357,Census Tract 8357,17,835700
410894.0,0.0,031,S,17031843600,+41.8067653,-087.6089488,G5020,8436,Census Tract 8436,17,843600
799111.0,867001.0,031,S,17031836400,+41.8190118,-087.5951761,G5020,8364,Census Tract 8364,17,836400
860471.0,0.0,031,S,17031836100,+41.7998052,-087.6186826,G5020,8361,Census Tract 8361,17,836100
1562222.0,0.0,031,S,17031834600,+41.7872463,-087.6343057,G5020,8346,Census Tract 8346,17,834600
113330.0,87128.0,031,S,17031030102,+41.9930264,-087.6550225,G5020,301.02,Census Tract 301.02,17,030102
86632.0,101282.0,031,S,17031030103,+41.9955241,-087.6551527,G5020,301.03,Census Tract 301.03,17,030103
395747.0,186155.0,031,S,17031030706,+41.9804694,-087.6509792,G5020,307.06,Census Tract 307.06,17,030706
276102.0,585774.0,031,S,17031061902,+41.9431822,-087.6358414,G5020,619.02,Census Tract 619.02,17,061902
236592.0,0.0,031,S,17031063303,+41.9347312,-087.6346613,G5020,633.03,Census Tract 633.03,17,063303
142180.0,110657.0,031,S,17031030601,+41.9888802,-087.6549042,G5020,306.01,Census Tract 306.01,17,030601
204332.0,530065.0,031,S,17031081202,+41.9043769,-087.6242374,G5020,812.02,Census Tract 812.02,17,081202
189121.0,0.0,031,S,17031220601,+41.9258252,-087.7128836,G5020,2206.01,Census Tract 2206.01,17,220601
385796.0,0.0,031,S,17031040401,+41.9720667,-087.6860816,G5020,404.01,Census Tract 404.01,17,040401
293288.0,0.0,031,S,17031220901,+41.9191816,-087.7212483,G5020,2209.01,Census Tract 2209.01,17,220901
381387.0,0.0,031,S,17031210602,+41.9341630,-087.7125720,G5020,2106.02,Census Tract 2106.02,17,210602
464110.0,0.0,031,S,17031220602,+41.9293272,-087.7119812,G5020,2206.02,Census Tract 2206.02,17,220602
637446.0,0.0,031,S,17031252202,+41.8767584,-087.7445832,G5020,2522.02,Census Tract 2522.02,17,252202
668487.0,0.0,031,S,17031252102,+41.8765922,-087.7598116,G5020,2521.02,Census Tract 2521.02,17,252102
1637263.0,23682.0,031,S,17031804610,+42.0246258,-088.0514953,G5020,8046.10,Census Tract 8046.10,17,804610
974026.0,0.0,031,S,17031802609,+42.1053603,-087.8996709,G5020,8026.09,Census Tract 8026.09,17,802609
1281207.0,0.0,031,S,17031802610,+42.0976999,-087.8954888,G5020,8026.10,Census Tract 8026.10,17,802610
2811948.0,15346.0,031,S,17031770201,+41.9976033,-088.0176885,G5020,7702.01,Census Tract 7702.01,17,770201
2767946.0,0.0,031,S,17031770601,+42.0291453,-087.9087421,G5020,7706.01,Census Tract 7706.01,17,770601
2710684.0,0.0,031,S,17031806103,+42.0588334,-087.9118137,G5020,8061.03,Census Tract 8061.03,17,806103
137523.0,0.0,031,S,17031836300,+41.8015324,-087.6017585,G5020,8363,Census Tract 8363,17,836300
813724.0,0.0,031,S,17031836200,+41.7904691,-087.6012847,G5020,8362,Census Tract 8362,17,836200
505739.0,0.0,031,S,17031836000,+41.8140036,-087.6116844,G5020,8360,Census Tract 8360,17,836000
647443.0,0.0,031,S,17031835900,+41.8201664,-087.6214989,G5020,8359,Census Tract 8359,17,835900
464133.0,0.0,031,S,17031834500,+41.7860320,-087.6253618,G5020,8345,Census Tract 8345,17,834500
2279539.0,0.0,031,S,17031804308,+42.0239204,-088.1526990,G5020,8043.08,Census Tract 8043.08,17,804308
1586072.0,19248.0,031,S,17031820605,+41.7384267,-087.8309652,G5020,8206.05,Census Tract 8206.05,17,820605
586494.0,0.0,031,S,17031834400,+41.7769504,-087.5963030,G5020,8344,Census Tract 8344,17,834400
1911650.0,0.0,031,S,17031834300,+41.7458348,-087.5917880,G5020,8343,Census Tract 8343,17,834300
532229.0,665646.0,031,S,17031070101,+41.9295225,-087.6323247,G5020,701.01,Census Tract 701.01,17,070101
110578.0,70440.0,031,S,17031030104,+41.9972773,-087.6559864,G5020,301.04,Census Tract 301.04,17,030104
281787.0,0.0,031,S,17031081401,+41.8950347,-087.6197175,G5020,814.01,Census Tract 814.01,17,081401
454085.0,542570.0,031,S,17031430102,+41.7689528,-087.5638143,G5020,4301.02,Census Tract 4301.02,17,430102
791607.0,0.0,031,S,17031110501,+41.9770023,-087.7619249,G5020,1105.01,Census Tract 1105.01,17,110501
1739352.0,0.0,031,S,17031824121,+41.5918129,-087.8275417,G5020,8241.21,Census Tract 8241.21,17,824121
1164799.0,0.0,031,S,17031770902,+41.9700657,-087.8361840,G5020,7709.02,Census Tract 7709.02,17,770902
2367603.0,0.0,031,S,17031804109,+42.0754963,-088.0367314,G5020,8041.09,Census Tract 8041.09,17,804109
15229148.0,481377.0,031,S,17031804507,+42.0034598,-088.2266776,G5020,8045.07,Census Tract 8045.07,17,804507
2557337.0,0.0,031,S,17031804611,+42.0188278,-088.0677831,G5020,8046.11,Census Tract 8046.11,17,804611
22816186.0,1238652.0,031,S,17031824004,+41.6833646,-087.9477041,G5020,8240.04,Census Tract 8240.04,17,824004
15225063.0,179568.0,031,S,17031824006,+41.6523772,-087.9495062,G5020,8240.06,Census Tract 8240.06,17,824006
327083.0,0.0,031,S,17031430101,+41.7698532,-087.5739530,G5020,4301.01,Census Tract 4301.01,17,430101
829716.0,24575.0,031,S,17031252101,+41.8738808,-087.7698551,G5020,2521.01,Census Tract 2521.01,17,252101
202134.0,0.0,031,S,17031010501,+42.0094119,-087.6639583,G5020,105.01,Census Tract 105.01,17,010501
591396.0,0.0,031,S,17031020701,+41.9868915,-087.7036897,G5020,207.01,Census Tract 207.01,17,020701
3357356.0,508398.0,031,S,17031540101,+41.6507203,-087.5993689,G5020,5401.01,Census Tract 5401.01,17,540101
504464.0,0.0,031,S,17031010201,+42.0160077,-087.6801484,G5020,102.01,Census Tract 102.01,17,010201
531538.0,0.0,031,S,17031440201,+41.7482101,-087.6100746,G5020,4402.01,Census Tract 4402.01,17,440201
516564.0,0.0,031,S,17031839000,+41.8710422,-087.6314027,G5020,8390,Census Tract 8390,17,839000
1072961.0,0.0,031,S,17031802004,+42.0693032,-087.8537258,G5020,8020.04,Census Tract 8020.04,17,802004
1300064.0,0.0,031,S,17031760801,+41.9834867,-087.8448495,G5020,7608.01,Census Tract 7608.01,17,760801
1712238.0,0.0,031,S,17031802003,+42.0795988,-087.8456411,G5020,8020.03,Census Tract 8020.03,17,802003
1991943.0,0.0,031,S,17031803013,+42.1430920,-087.9718935,G5020,8030.13,Census Tract 8030.13,17,803013
4380134.0,0.0,031,S,17031802608,+42.1009482,-087.9488888,G5020,8026.08,Census Tract 8026.08,17,802608
1266240.0,28253.0,031,S,17031803014,+42.1160142,-087.9335973,G5020,8030.14,Census Tract 8030.14,17,803014
3306117.0,0.0,031,S,17031803015,+42.1164128,-087.9496247,G5020,8030.15,Census Tract 8030.15,17,803015
984827.0,0.0,031,S,17031834000,+41.7275601,-087.6295042,G5020,8340,Census Tract 8340,17,834000
677853.0,24124.0,031,S,17031833900,+41.7310321,-087.5474226,G5020,8339,Census Tract 8339,17,833900
220053.0,0.0,031,S,17031221000,+41.9209604,-087.7152526,G5020,2210,Census Tract 2210,17,221000
440042.0,0.0,031,S,17031221100,+41.9210205,-087.7103609,G5020,2211,Census Tract 2211,17,221100
439630.0,0.0,031,S,17031242800,+41.8926320,-087.6903237,G5020,2428,Census Tract 2428,17,242800
323819.0,0.0,031,S,17031242900,+41.8921955,-087.6842896,G5020,2429,Census Tract 2429,17,242900
324548.0,0.0,031,S,17031243000,+41.8922753,-087.6793981,G5020,2430,Census Tract 2430,17,243000
324004.0,0.0,031,S,17031243100,+41.8923546,-087.6745068,G5020,2431,Census Tract 2431,17,243100
640571.0,683301.0,031,S,17031071400,+41.9227255,-087.6295259,G5020,714,Census Tract 714,17,071400
327093.0,0.0,031,S,17031243300,+41.8924781,-087.6647388,G5020,2433,Census Tract 2433,17,243300
323850.0,0.0,031,S,17031243200,+41.8924327,-087.6696238,G5020,2432,Census Tract 2432,17,243200
329156.0,0.0,031,S,17031243400,+41.8925579,-087.6598479,G5020,2434,Census Tract 2434,17,243400
661051.0,0.0,031,S,17031150800,+41.9497086,-087.7521182,G5020,1508,Census Tract 1508,17,150800
662396.0,0.0,031,S,17031150700,+41.9495915,-087.7619580,G5020,1507,Census Tract 1507,17,150700
656191.0,0.0,031,S,17031150600,+41.9494731,-087.7717578,G5020,1506,Census Tract 1506,17,150600
933971.0,0.0,031,S,17031110400,+41.9729536,-087.7726114,G5020,1104,Census Tract 1104,17,110400
164087.0,0.0,031,S,17031241300,+41.9067716,-087.6810250,G5020,2413,Census Tract 2413,17,241300
330814.0,0.0,031,S,17031241100,+41.9066403,-087.6895801,G5020,2411,Census Tract 2411,17,241100
302806.0,0.0,031,S,17031241500,+41.9083759,-087.6709364,G5020,2415,Census Tract 2415,17,241500
