precinct_number,precinct_objectid,tract_geoid
8200029,737,17031808002
8200032,738,17031806900
8300054,739,17031801601
8300045,740,17031801500
8300028,741,17031801800
8300058,742,17031801601
8300055,743,17031801500
8300047,744,17031801601
8300040,745,17031801500
8300003,746,17031801601
8300015,747,17031801500
8300043,748,17031801608
8300037,749,17031801800
8300009,750,17031801800
8300056,751,17031801901
8300039,752,17031801603
8300053,753,17031802300
8300032,754,17031801605
8300011,755,17031801606
8300029,756,17031801702
8300026,757,17031801500
8300034,758,17031801608
8300041,759,17031801608
8300048,760,17031801608
8300038,761,17031802002
8300010,762,17031802002
8300006,763,17031802200
8300044,764,17031802002
8300012,765,17031802200
8300024,766,17031802100
8300030,767,17031802100
8300021,768,17031802002
8300019,769,17031802200
8300031,770,17031801902
8300023,771,17031801800
8300008,772,17031801800
8300020,773,17031801608
8300014,774,17031801702
8300049,775,17031801606
8300050,776,17031801606
8300016,777,17031801605
8300022,778,17031801605
8300033,779,17031801607
8300046,780,17031801702
8300002,781,17031801701
8300057,782,17031801607
8300059,783,17031801607
8300027,784,17031801603
8300061,785,17031801607
8300013,786,17031801607
8300036,787,17031801606
8300060,788,17031801606
8300017,789,17031801605
8300018,790,17031801701
8300042,791,17031801901
8300052,792,17031801901
8300004,793,17031802004
8300001,794,17031802004
8300062,795,17031801701
8300025,796,17031802003
8300051,797,17031802300
8300007,798,17031802300
8300005,799,17031802003
8300035,800,17031801902
8400011,801,17031810400
8400013,802,17031810501
8400006,803,17031810501
8400009,804,17031810501
8400002,805,17031810501
8400005,806,17031770901
8400008,807,17031810501
8400017,808,17031770901
8400004,809,17031810502
8400016,810,17031810502
8400015,811,17031810600
8400007,812,17031770902
8400014,813,17031810400
8400003,814,17031810400
8400010,815,17031100500
8400001,816,17031810600
8400012,817,17031810502
8500032,818,17031812600
8500004,819,17031812200
8500002,820,17031812200
8500001,821,17031812100
8500007,822,17031812200
8500005,823,17031812302
8500008,824,17031812100
8500018,825,17031812302
8500010,826,17031812100
8500014,827,17031812400
8500030,828,17031812500
8500011,829,17031812500
8500020,830,17031812301
8500022,831,17031812301
8500023,832,17031812302
8500024,833,17031812400
8500019,834,17031812801
8500026,835,17031812500
8500037,836,17031812802
8500035,837,17031812700
8500028,838,17031812801
8500034,839,17031812600
8500006,840,17031812700
8500012,841,17031812700
8500021,842,17031812600
8500036,843,17031812900
8500009,844,17031812900
8500003,845,17031813000
8500015,846,17031813000
8500027,847,17031812900
8500016,848,17031812900
8500029,849,17031813200
8500013,850,17031813000
8500017,851,17031813200
8500033,852,17031813100
8500031,853,17031813200
8500025,854,17031813100
8600064,855,17031824116
8600020,856,17031824113
8600056,857,17031824114
8600004,858,17031824114
8600001,859,17031824116
8600055,860,17031824105
8600033,861,17031824503
8600021,862,17031824503
8600054,863,17031824105
8600035,864,17031824105
8600010,865,17031824105
8600037,866,17031824105
8600007,867,17031824115
8600028,868,17031824106
8600034,869,17031824506
8600062,870,17031824107
8600022,871,17031824120
8600009,872,17031824120
8600016,873,17031824113
8600053,874,17031824114
8600002,875,17031824116
8600029,876,17031824114
8600075,877,17031824120
8600052,878,17031824107
8600032,879,17031824106
8600048,880,17031824106
8600030,881,17031824107
8600031,882,17031824115
8600038,883,17031824116
8600040,884,17031824106
8600068,885,17031824120
8600027,886,17031824107
8600017,887,17031824123
8600006,888,17031824123
8600071,889,17031824120
8600015,890,17031824119
8600065,891,17031824120
8600019,892,17031824107
8600024,893,17031824106
8600003,894,17031824108
8600025,895,17031824106
8600069,896,17031824108
8600047,897,17031824120
8600046,898,17031824121
8600013,899,17031824122
8600014,900,17031824123
8600050,901,17031824123
8600041,902,17031824122
8600074,903,17031824121
8600012,904,17031824121
8600011,905,17031824123
8600072,906,17031824123
8600049,907,17031824122
8600005,908,17031825304
8600067,909,17031825304
8600073,910,17031825400
8600063,911,17031824122
8600061,912,17031824122
8600044,913,17031824117
8600051,914,17031824117
8600058,915,17031824117
8600042,916,17031824117
8600023,917,17031824121
8600043,918,17031824117
8600045,919,17031824117
8600018,920,17031824113
8600026,921,17031824108
8600036,922,17031824120
8600060,923,17031824119
8600059,924,17031824119
8600057,925,17031824119
8600039,926,17031824119
8600008,927,17031824108
8600070,928,17031824117
8600066,929,17031824120
8700033,930,17031803608
8700058,931,17031803611
8700060,932,17031803611
8700004,933,17031803612
8700015,934,17031803608
8700020,935,17031803608
8700024,936,17031804000
8700021,937,17031804000
8700052,938,17031804109
8700062,939,17031804105
8700011,940,17031804106
8700019,941,17031804109
8700013,942,17031803902
8700005,943,17031803902
8700051,944,17031803901
8700040,945,17031803603
8700047,946,17031803901
8700039,947,17031803901
8700022,948,17031803607
8700059,949,17031803605
8700027,950,17031803605
8700054,951,17031803604
8700028,952,17031804106
8700063,953,17031804106
8700041,954,17031804106
8700016,955,17031803606
8700066,956,17031803606
8700026,957,17031803607
8700053,958,17031803607
8700025,959,17031803607
8700007,960,17031803800
8700018,961,17031803800
8700008,962,17031803800
8700064,963,17031803610
8700045,964,17031803605
8700036,965,17031804102
8700037,966,17031804104
8700065,967,17031803603
8700029,968,17031804104
8700055,969,17031803603
8700050,970,17031804105
8700043,971,17031804105
8700034,972,17031804105
8700012,973,17031804102
8700010,974,17031803608
8700067,975,17031803603
8700056,976,17031803610
8700069,977,17031803610
8700049,978,17031803608
8700061,979,17031803605
8700057,980,17031803610
8700046,981,17031803604
8700030,982,17031803604
8700014,983,17031803604
8700031,984,17031803605
8700042,985,17031803610
8700038,986,17031804102
8700006,987,17031803702
8700001,988,17031803702
8700017,989,17031803800
8700044,990,17031804102
8700048,991,17031804102
8700035,992,17031803702
8700002,993,17031803702
8700032,994,17031803702
8700023,995,17031803603
8700003,996,17031803603
8700068,997,17031804106
8700009,998,17031804102
8800019,999,17031823704
8800006,1000,17031823703
8800017,1001,17031823703
8800020,1002,17031823705
8800025,1003,17031823703
8800004,1004,17031823704
8800031,1005,17031823702
8800005,1006,17031823702
8800018,1007,17031823705
8800023,1008,17031823703
8800014,1009,17031823803
8800038,1010,17031823702
8800028,1011,17031823702
8800026,1012,17031823803
8800007,1013,17031823803
8800035,1014,17031823803
8800034,1015,17031823803
8800021,1016,17031823805
8800032,1017,17031823803
8800036,1018,17031823806
8800012,1019,17031823806
8800008,1020,17031823806
8800002,1021,17031823901
8800030,1022,17031823903
8800003,1023,17031823904
8800015,1024,17031823904
8800009,1025,17031823904
8800033,1026,17031823904
8800001,1027,17031823903
8800039,1028,17031823801
8800011,1029,17031823801
8800010,1033,17031823901
8800037,1034,17031823801
8800013,1035,17031823801
8800022,1036,17031823801
8800027,1037,17031823705
8900007,1038,17031816800
8900013,1039,17031816700
8900080,1040,17031816600
8900088,1041,17031816600
8900015,1042,17031816500
8900087,1043,17031816300
8900012,1044,17031816300
8900100,1045,17031816200
8900098,1046,17031816200
8900095,1047,17031816200
8900066,1048,17031816000
8900061,1049,17031815900
8900062,1050,17031815900
8900065,1051,17031815900
8900068,1052,17031816000
8900067,1053,17031816000
8900076,1054,17031816100
8900074,1055,17031816100
8900102,1056,17031818000
8900008,1057,17031816100
8900072,1058,17031816100
8900073,1059,17031816100
8900063,1060,17031818700
8900029,1061,17031818800
8900090,1062,17031818800
8900001,1063,17031817400
8900002,1064,17031817400
8900021,1065,17031818600
8900027,1066,17031818800
8900075,1067,17031818900
8900011,1068,17031816402
8900096,1069,17031818900
8900026,1070,17031818900
8900055,1071,17031819000
8900023,1072,17031819000
8900046,1073,17031819000
8900070,1074,17031818500
8900003,1075,17031818401
8900060,1076,17031818300
8900016,1077,17031816800
8900014,1078,17031816401
8900049,1079,17031818300
8900078,1080,17031816500
8900009,1081,17031817000
8900030,1082,17031818300
8900071,1083,17031816800
8900064,1084,17031816900
8900091,1085,17031816800
8900017,1086,17031816900
8900039,1087,17031818300
8900099,1088,17031816900
8900082,1089,17031817000
8900083,1090,17031817000
8900056,1091,17031817500
8900010,1092,17031816402
8900093,1093,17031818401
8900031,1094,17031817101
8900058,1095,17031817500
8900022,1096,17031817101
8900019,1097,17031817102
8900047,1098,17031817200
8900052,1099,17031817300
8900069,1100,17031817200
8900045,1101,17031817200
8900053,1102,17031817300
8900018,1103,17031817101
8900041,1104,17031817101
8900094,1105,17031817102
8900020,1106,17031817102
8900043,1107,17031817700
8900042,1108,17031817700
8900086,1109,17031817700
8900040,1110,17031817700
8900036,1111,17031817500
8900004,1112,17031817600
8900037,1113,17031817600
8900005,1114,17031817900
8900033,1115,17031817900
8900044,1116,17031817700
8900050,1117,17031818200
8900034,1118,17031817900
