created_da,created_us,global_id,idpct,idpct_txt,last_edi_1,last_edite,name,name_tmp,num,objectid,shape_area,shape_len,town_no
1899-11-30T00:00:00.000Z,,{99D05643-AB2C-49A7-B84B-5EA30D675A31},7100010,7100010,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,10,62,12666914.4789,15514.2400617,71
1899-11-30T00:00:00.000Z,,{99B12E68-CAF1-4435-86A0-0CD70BEC446C},7100041,7100041,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,41,63,5869073.82502,10077.145556,71
1899-11-30T00:00:00.000Z,,{136D05E6-4930-4F70-B462-B0B5ECE51380},7100014,7100014,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,14,64,12462083.2805,16444.1195978,71
1899-11-30T00:00:00.000Z,,{7AD65B29-FF74-4CEC-AE30-F9CD013A71A6},7100005,7100005,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,5,65,6921949.10942,11388.9585557,71
1899-11-30T00:00:00.000Z,,{9EC56782-C3D6-4026-9580-D8E719747263},7100044,7100044,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,44,66,16915170.2181,20215.9590184,71
1899-11-30T00:00:00.000Z,,{5B108A53-B812-4C11-BA83-5CFC614DB94C},7100036,7100036,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,36,67,6811738.24328,12043.4598846,71
1899-11-30T00:00:00.000Z,,{C5BF8AE8-CBF5-4497-A375-D0BBE16FD316},7100002,7100002,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,2,68,7141055.59071,10683.4485532,71
1899-11-30T00:00:00.000Z,,{2DEDDF85-C932-4263-A836-7F30DDA86722},7100038,7100038,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,38,69,72254148.7016,39307.5180655,71
1899-11-30T00:00:00.000Z,,{1C5153BC-DCCB-4749-B2B3-FD09E02F5563},7100018,7100018,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,18,70,53891814.4792,35786.0145336,71
1899-11-30T00:00:00.000Z,,{3343DADE-D30F-4C74-8081-EEAF063ABBBF},7100022,7100022,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,22,71,6757723.98526,11849.1695966,71
1899-11-30T00:00:00.000Z,,{A5880C54-1604-4829-8A15-8264FB9DD8E2},7100021,7100021,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,21,72,7094075.42473,14721.5095387,71
1899-11-30T00:00:00.000Z,,{FE4023A9-2774-48B0-856A-632EE25E56E3},7100029,7100029,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,29,74,18362583.3061,24487.6259806,71
1899-11-30T00:00:00.000Z,,{0D08C92D-3162-47E6-959A-1E4BEC9751CA},7100037,7100037,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,37,75,56387778.3751,37734.1769359,71
1899-11-30T00:00:00.000Z,,{83539FC9-529F-4D3B-8726-5DE5FF20898C},7100060,7100060,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,60,76,3478818.70503,9715.64846793,71
1899-11-30T00:00:00.000Z,,{032EF8CE-8392-4024-A427-AF2C8B995957},7100006,7100006,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,6,77,79680477.9182,46046.106488,71
1899-11-30T00:00:00.000Z,,{B646B39E-5CA5-44B7-B997-B45E9D5ADB93},7100054,7100054,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,54,79,19222315.0871,25244.951826,71
1899-11-30T00:00:00.000Z,,{01F570E8-7B5B-424B-9E52-D11AD579692B},7100039,7100039,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,39,80,22500508.1609,26760.459116,71
1899-11-30T00:00:00.000Z,,{A0AECB78-0782-4AC5-80D1-E5F9CC717CAF},7100061,7100061,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,61,81,10499523.6379,17762.4250841,71
1899-11-30T00:00:00.000Z,,{6804BCA3-4A68-48AA-869D-F2C1E9BEC8D5},7100031,7100031,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,31,82,10319647.6652,14457.8667314,71
1899-11-30T00:00:00.000Z,,{22A7CD3B-9EC4-42B9-BBF6-47B6419D2209},7100004,7100004,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,4,84,8084357.21605,17224.9995108,71
1899-11-30T00:00:00.000Z,,{2E9B3ED0-9CE5-4E16-A738-CBDD91947B4C},7100025,7100025,1899-11-30T00:00:00.000Z,,BLOOM,TOWN OF BLOOM,25,85,8239650.30774,15118.1124873,71
